연월별,유료입장객,무료입장객,전체입장객,데이터기준일자
2020-01-31,256542,305380,561922,2022-09-28
2020-02-29,11578,10289,21867,2022-09-28
2020-03-31,18556,18984,37540,2022-09-28
2020-04-30,22143,27195,49338,2022-09-28
2020-05-31,34905,48685,83590,2022-09-28
2020-06-30,19103,36154,55257,2022-09-28
2020-07-31,19435,34129,53564,2022-09-28
2020-08-31,28881,23768,52649,2022-09-28
2020-09-30,13548,14176,27724,2022-09-28
2020-10-31,33536,34773,68309,2022-09-28
2020-11-30,32294,15950,48244,2022-09-28
2020-12-31,8270,14384,22654,2022-09-28
2021-01-31,11887,7828,19715,2022-09-28
2021-02-28,19288,19747,39035,2022-09-28
2021-03-31,26764,20649,47413,2022-09-28
2021-04-30,27315,22873,50188,2022-09-28
2021-05-31,37439,30803,68242,2022-09-28
2021-06-30,21716,21959,43675,2022-09-28
2021-07-31,17529,22013,39542,2022-09-28
2021-08-31,31172,27801,58973,2022-09-28
2021-09-30,18692,35402,54094,2022-09-28
2021-10-31,40064,34130,74194,2022-09-28
2021-11-30,33543,27401,60944,2022-09-28
2021-12-31,18929,10643,29572,2022-09-28
2022-01-31,22794,19390,42184,2022-09-28
2022-02-28,18593,18520,37113,2022-09-28
2022-03-31,24159,16029,40188,2022-09-28
2022-04-30,43130,39666,82796,2022-09-28
2022-05-31,37516,102146,139662,2022-09-28
2022-06-30,29071,26984,56055,2022-09-28
2022-07-31,23201,23384,46585,2022-09-28
